JMEStatus,IndicatorCode,Indicator,StandardDisaggregations,ISO3Code,M49,Country,ShortSource,Survey_years,Year,UNICEFSurveyID,WHOSurveyID,EstimateType,PointEstimate,StandardError,LowerLimit,UpperLimit,weighted_N,unweighted_N,StandardFootnotes,ExtendedDisplayFootnotes,ReportAuthorProvider,FullSourceTitle
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Female 0 to 5 months,DJI,262,Djibouti,SMART,2010-2011,2011,799,04663,Reanalyzed,0,NA,0,0,3,3,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed","Age 0-5 months not covered, unadjusted for age","Programme National de Nutrition, Ministère de la Santé, Republique de Djibouti","Enquête Nutritionnelle SMART, Évaluation de  la Situation Nutritionnelle, Rapport Final, Djibouti, Avril 2011"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Male 0 to 5 months,DJI,262,Djibouti,SMART,2019,2019,3853,04668,Reanalyzed,100,NA,NA,NA,167.290771484375,3,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age 0-5 months not covered; unadjusted,l’Institut National des Statistiques de Djibouti (INSD),"Enquête sur l’état nutritionnel avec la Méthodologie SMART, Djibouti Avril 2019"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Female 0 to 5 months,DJI,262,Djibouti,SMART,2019,2019,3853,04668,Reanalyzed,40.133434534072876,33.97861421108246,3.8477957248687744,91.82358384132385,101.02522277832031,2,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age 0-5 months not covered; unadjusted,l’Institut National des Statistiques de Djibouti (INSD),"Enquête sur l’état nutritionnel avec la Méthodologie SMART, Djibouti Avril 2019"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,0 to 5 months,DJI,262,Djibouti,SMART,2019,2019,3853,04668,Reanalyzed,77.45928764343262,20.347140729427338,25.4443496465683,97.19116687774658,268.31597900390625,5,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age 0-5 months not covered; unadjusted,l’Institut National des Statistiques de Djibouti (INSD),"Enquête sur l’état nutritionnel avec la Méthodologie SMART, Djibouti Avril 2019"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Female 0 to 5 months,GTM,320,Guatemala,RHS,2008-2009,2009,268,02917,Reanalyzed,0,NA,0,0,0.6983473300933838,1,"Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",NA,Ministerio de Salud Pública y Asistencia Social (MSPAS)/Instituto Nacional de Estadística (INE)/Centros de Control y Prevención de Enfermedades (CDC).,"Encuesta nacional de salud materno infantil 2008 (ENSMI-2008/09). Ciudad de Guatemala, Guatemala: Ministerio de Salud Pública, MSPAS, INE y CDC, 2010"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,0 to 5 months,GTM,320,Guatemala,RHS,2008-2009,2009,268,02917,Reanalyzed,48.69455397129059,33.049437403678894,3.594360500574112,96.02559208869934,2.711371660232544,3,"Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",NA,Ministerio de Salud Pública y Asistencia Social (MSPAS)/Instituto Nacional de Estadística (INE)/Centros de Control y Prevención de Enfermedades (CDC).,"Encuesta nacional de salud materno infantil 2008 (ENSMI-2008/09). Ciudad de Guatemala, Guatemala: Ministerio de Salud Pública, MSPAS, INE y CDC, 2010"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Male 0 to 5 months,GTM,320,Guatemala,RHS,2008-2009,2009,268,02917,Reanalyzed,65.58740139007568,34.47674810886383,4.340694099664688,98.76623153686523,2.01302433013916,2,"Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",NA,Ministerio de Salud Pública y Asistencia Social (MSPAS)/Instituto Nacional de Estadística (INE)/Centros de Control y Prevención de Enfermedades (CDC).,"Encuesta nacional de salud materno infantil 2008 (ENSMI-2008/09). Ciudad de Guatemala, Guatemala: Ministerio de Salud Pública, MSPAS, INE y CDC, 2010"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Male 48 to 59 months,IND,356,India,DHS,1992-1993,1992,302,01549,Reanalyzed,100,NA,NA,NA,1.085679054260254,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age interval 0-52 months; unadjusted,International Institute for Population Sciences.,"National family health survey, India 1992-93. Demographic and Health Surveys. Bombay, India, 1995"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,48 to 59 months,IND,356,India,DHS,1992-1993,1992,302,01549,Reanalyzed,100,NA,NA,NA,1.085679054260254,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age interval 0-52 months; unadjusted,International Institute for Population Sciences.,"National family health survey, India 1992-93. Demographic and Health Surveys. Bombay, India, 1995"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,36 to 47 months,IND,356,India,DHS,1998-2000,1999,304,02180,Reanalyzed,24.332839250564575,20.612704753875732,2.585691772401333,79.57507967948914,3.729084014892578,5,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age interval 0-36 months; unadjusted,International Institute for Population Sciences (IIPS) and ORC Macro.,"National family health survey (NFHS-2) 1998-99. Demographic and Health Surveys. Mumbai, India, 2000"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Male 36 to 47 months,IND,356,India,DHS,1998-2000,1999,304,02180,Reanalyzed,21.446849405765533,20.778240263462067,1.1333540081977844,86.67120933532715,3.5920801162719727,3,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age interval 0-36 months; unadjusted,International Institute for Population Sciences (IIPS) and ORC Macro.,"National family health survey (NFHS-2) 1998-99. Demographic and Health Surveys. Mumbai, India, 2000"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Female 36 to 47 months,IND,356,India,DHS,1998-2000,1999,304,02180,Reanalyzed,100,NA,NA,NA,0.13700400292873383,2,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age interval 0-36 months; unadjusted,International Institute for Population Sciences (IIPS) and ORC Macro.,"National family health survey (NFHS-2) 1998-99. Demographic and Health Surveys. Mumbai, India, 2000"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,36 to 47 months,KAZ,398,Kazakhstan,DHS,1995,1995,357,01674,Reanalyzed,100,NA,NA,NA,0.4833270013332367,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age interval 0-35 months; unadjusted,National Institute of Nutrition/Kazakstan and Macro International,"Kazakhstan demographic and health survey 1995. Demographic and Health Surveys. Almaty, Kazakhstan, 1996"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Male 36 to 47 months,KAZ,398,Kazakhstan,DHS,1995,1995,357,01674,Reanalyzed,100,NA,NA,NA,0.4833270013332367,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age interval 0-35 months; unadjusted,National Institute of Nutrition/Kazakstan and Macro International,"Kazakhstan demographic and health survey 1995. Demographic and Health Surveys. Almaty, Kazakhstan, 1996"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Male 0 to 5 months,KEN,404,Kenya,Other,1994,1994,364,01571,Reanalyzed,3.7212103605270386,4.187445342540741,0.38863231893628836,27.687814831733704,1681.1734619140625,4,"Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Height/length modality (standing/lying) was not collected",NA,Central Bureau of Statistics.,"Fifth child nutrition survey, 1994. Welfare monitoring survey. Nairobi, Kenya, 1995."
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Female 36 to 47 months,KEN,404,Kenya,DHS,1998,1998,365,01993,Reanalyzed,100,NA,NA,NA,1.1946649551391602,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age interval 0-35 months; unadjusted,"National Council for Population and Development (NCPD), Central Bureau of Statistics (CBS) [Kenya], and Macro International Inc. (MI).","Kenya demographic and health survey 1998. Demographic and Health Surveys. Central Bureau of Statistics. Calverton, Maryland: NDPD, CBS, and MI., 1999"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,36 to 47 months,KEN,404,Kenya,DHS,1998,1998,365,01993,Reanalyzed,100,NA,NA,NA,1.1946649551391602,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age interval 0-35 months; unadjusted,"National Council for Population and Development (NCPD), Central Bureau of Statistics (CBS) [Kenya], and Macro International Inc. (MI).","Kenya demographic and health survey 1998. Demographic and Health Surveys. Central Bureau of Statistics. Calverton, Maryland: NDPD, CBS, and MI., 1999"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,0 to 5 months,LBN,422,Lebanon,SMART,2021,2021,8846,09712,Reanalyzed,0,NA,0,0,0.5663999915122986,1,"Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",NA,Ministry of Public Health Lebanon,Lebanon 2021 National Nutrition SMART Survey
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Female 0 to 5 months,LBN,422,Lebanon,SMART,2021,2021,8846,09712,Reanalyzed,0,NA,0,0,0.5663999915122986,1,"Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",NA,Ministry of Public Health Lebanon,Lebanon 2021 National Nutrition SMART Survey
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Female 0 to 5 months,MWI,454,Malawi,SMART,2016,2016,2400,03408,Reanalyzed,0,NA,0,0,0.37766599655151367,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Age calculated using alternate methods",Age 0-5 months not covered; unadjusted,"Lilongwe University of Agriculture and Natural Resources (LUANAR); Ministry of Health, UNIMA, UNICEF",Report of the Seven Nutrition Surveys Conducted in Flood Affected Livelihood Zones of Malawi - Assessment Period April - May 2016
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,0 to 5 months,MWI,454,Malawi,SMART,2016,2016,3561,03407,Reanalyzed,0,NA,0,0,0.6119106411933899,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Age calculated using alternate methods",Age 0-5 months not covered; unadjusted,"Lilongwe University of Agriculture and Natural Resources (LUANAR); Ministry of Health, UNIMA, UNICEF",Report of the Seven Nutrition Surveys Conducted in Flood Affected Livelihood Zones of Malawi - Assessment Period November - December 2016
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Male 0 to 5 months,MWI,454,Malawi,SMART,2016,2016,2400,03408,Reanalyzed,32.831862568855286,27.371299266815186,3.8027383387088776,85.8036994934082,2.707242012023926,3,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Age calculated using alternate methods",Age 0-5 months not covered; unadjusted,"Lilongwe University of Agriculture and Natural Resources (LUANAR); Ministry of Health, UNIMA, UNICEF",Report of the Seven Nutrition Surveys Conducted in Flood Affected Livelihood Zones of Malawi - Assessment Period April - May 2016
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Male 0 to 5 months,MWI,454,Malawi,SMART,2016,2016,3561,03407,Reanalyzed,0,NA,0,0,0.6119106411933899,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Age calculated using alternate methods",Age 0-5 months not covered; unadjusted,"Lilongwe University of Agriculture and Natural Resources (LUANAR); Ministry of Health, UNIMA, UNICEF",Report of the Seven Nutrition Surveys Conducted in Flood Affected Livelihood Zones of Malawi - Assessment Period November - December 2016
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,0 to 5 months,MWI,454,Malawi,SMART,2016,2016,2400,03408,Reanalyzed,28.81246507167816,24.350836873054504,3.522847592830658,81.772613525390625,3.0849080085754395,4,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Age calculated using alternate methods",Age 0-5 months not covered; unadjusted,"Lilongwe University of Agriculture and Natural Resources (LUANAR); Ministry of Health, UNIMA, UNICEF",Report of the Seven Nutrition Surveys Conducted in Flood Affected Livelihood Zones of Malawi - Assessment Period April - May 2016
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Male 0 to 5 months,MWI,454,Malawi,SMART,2017,2017,3562,03409,Reanalyzed,0,NA,0,0,0.9926890134811401,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age 0-5 months not covered; unadjusted,"Lilongwe University of Agriculture and Natural Resources (LUANAR); Ministry of Health, UNIMA, UNICEF",Report of the Seven Nutrition Surveys Conducted in Flood Affected Livelihood Zones of Malawi - Assessment Period May 2017
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,0 to 5 months,MWI,454,Malawi,SMART,2017,2017,3562,03409,Reanalyzed,0,NA,0,0,2.028769016265869,2,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age 0-5 months not covered; unadjusted,"Lilongwe University of Agriculture and Natural Resources (LUANAR); Ministry of Health, UNIMA, UNICEF",Report of the Seven Nutrition Surveys Conducted in Flood Affected Livelihood Zones of Malawi - Assessment Period May 2017
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Female 0 to 5 months,MWI,454,Malawi,SMART,2017,2017,3562,03409,Reanalyzed,0,NA,0,0,1.036080002784729,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age 0-5 months not covered; unadjusted,"Lilongwe University of Agriculture and Natural Resources (LUANAR); Ministry of Health, UNIMA, UNICEF",Report of the Seven Nutrition Surveys Conducted in Flood Affected Livelihood Zones of Malawi - Assessment Period May 2017
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Female 0 to 5 months,MWI,454,Malawi,SMART,2018,2018,3566,03410,Reanalyzed,0,NA,0,0,0.3885439932346344,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Age calculated using alternate methods",Age 0-5 months not covered; unadjusted,"Lilongwe University of Agriculture and Natural Resources (LUANAR); Ministry of Health, UNIMA, UNICEF",Report of the Seven Nutrition Surveys Conducted in Flood Affected Livelihood Zones of Malawi - Assessment Period January - February 2018
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,0 to 5 months,MWI,454,Malawi,SMART,2018,2018,3566,03410,Reanalyzed,0,NA,0,0,0.3885439932346344,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Age calculated using alternate methods",Age 0-5 months not covered; unadjusted,"Lilongwe University of Agriculture and Natural Resources (LUANAR); Ministry of Health, UNIMA, UNICEF",Report of the Seven Nutrition Surveys Conducted in Flood Affected Livelihood Zones of Malawi - Assessment Period January - February 2018
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Male 0 to 5 months,MWI,454,Malawi,SMART,2020,2020,4575,05595,Reanalyzed,0,NA,0,0,0.9978950023651123,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age 0-5 months not covered; unadjusted,"Lilongwe University of Agriculture and Natural Resources (LUANAR); Ministry of Health, UNIMA, UNICEF",Report of the Round 7 Nutrition SMART Surveys Conducted in the Flood- and Drought- Prone Livelihood Zones of Malawi
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,0 to 5 months,MWI,454,Malawi,SMART,2020,2020,4575,05595,Reanalyzed,0,NA,0,0,0.9978950023651123,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age 0-5 months not covered; unadjusted,"Lilongwe University of Agriculture and Natural Resources (LUANAR); Ministry of Health, UNIMA, UNICEF",Report of the Round 7 Nutrition SMART Surveys Conducted in the Flood- and Drought- Prone Livelihood Zones of Malawi
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Male 0 to 5 months,MLI,466,Mali,SMART,2019,2019,3622,03488,Reanalyzed,0,NA,0,0,4.351248264312744,5,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age 0-5 months not covered; unadjusted,INSTAT; UNICEF; WFP; WHO; FAO,"Enquête Nationale Nutritionnelle Anthropométrique et de Mortalité rétrospective suivant la méthodologie SMART, Mali 2019"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Female 0 to 5 months,MLI,466,Mali,SMART,2019,2019,3622,03488,Reanalyzed,0,NA,0,0,1.6754182577133179,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age 0-5 months not covered; unadjusted,INSTAT; UNICEF; WFP; WHO; FAO,"Enquête Nationale Nutritionnelle Anthropométrique et de Mortalité rétrospective suivant la méthodologie SMART, Mali 2019"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Female 0 to 5 months,NPL,524,Nepal,Other,2016,2016,2564,03493,Reanalyzed,0,NA,0,0,0.4447552561759949,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age 0-5 months not covered; unadjusted,"Ministry of Health and Population, Nepal; New ERA; UNICEF; EU; USAID; and CDC","Nepal National Micronutrient Status Survey, 2016. Kathmandu, Nepal: Ministry of Health and Population, Nepal 2018"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Male 0 to 5 months,NPL,524,Nepal,Other,2016,2016,2564,03493,Reanalyzed,0,NA,0,0,4.234737396240234,3,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age 0-5 months not covered; unadjusted,"Ministry of Health and Population, Nepal; New ERA; UNICEF; EU; USAID; and CDC","Nepal National Micronutrient Status Survey, 2016. Kathmandu, Nepal: Ministry of Health and Population, Nepal 2018"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,0 to 5 months,NPL,524,Nepal,Other,2016,2016,2564,03493,Reanalyzed,0,NA,0,0,4.679492473602295,4,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age 0-5 months not covered; unadjusted,"Ministry of Health and Population, Nepal; New ERA; UNICEF; EU; USAID; and CDC","Nepal National Micronutrient Status Survey, 2016. Kathmandu, Nepal: Ministry of Health and Population, Nepal 2018"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Female 0 to 5 months,NER,562,Niger,SMART,2008,2008,885,03499,Reanalyzed,0,NA,0,0,0.10300000011920929,1,"Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Height/length modality (standing/lying) was not collected",NA,INS-Niger,"Rapport d’enquête nationale Nutrition et Survie de l’Enfant Niger, juin/juillet 2008 Rapport final,"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Female 0 to 5 months,NER,562,Niger,SMART,2015,2015,887,03504,Reanalyzed,0,NA,0,0,441.7889709472656,1,"Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Height/length modality (standing/lying) was not collected",NA,INS-Niger,Etude nationale d’evaluation d’indicateurs socio-economiques et demographiques (ENISED)
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Female 36 to 47 months,OMN,512,Oman,VAD Survey,1994-1995,1994,521,01560,Reanalyzed,0,NA,0,0,3,3,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Age calculated using alternate methods; Height/length modality (standing/lying) was not collected",Age interval 5-47 months; unadjusted; Omani citizens,Ministry of Health.,"National study on the prevalence of vitamin A deficiency (VAD) among children 6 months to 7 years. Muscat, Sultanate of Oman, 1995"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Female 0 to 5 months,OMN,512,Oman,VAD Survey,1994-1995,1994,521,01560,Reanalyzed,100,NA,NA,NA,1,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Age calculated using alternate methods; Height/length modality (standing/lying) was not collected",Age interval 5-47 months; unadjusted; Omani citizens,Ministry of Health.,"National study on the prevalence of vitamin A deficiency (VAD) among children 6 months to 7 years. Muscat, Sultanate of Oman, 1995"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,0 to 5 months,OMN,512,Oman,VAD Survey,1994-1995,1994,521,01560,Reanalyzed,50,25.019678473472595,12.289973348379135,87.71002888679504,4,4,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Age calculated using alternate methods; Height/length modality (standing/lying) was not collected",Age interval 5-47 months; unadjusted; Omani citizens,Ministry of Health.,"National study on the prevalence of vitamin A deficiency (VAD) among children 6 months to 7 years. Muscat, Sultanate of Oman, 1995"
Accepted and Free from Confidentiality,ANT_HAZ_NE2,Stunting,Male 0 to 5 months,OMN,512,Oman,VAD Survey,1994-1995,1994,521,01560,Reanalyzed,33.33333432674408,27.237975597381592,4.310395196080208,84.73266363143921,3,3,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Age calculated using alternate methods; Height/length modality (standing/lying) was not collected",Age interval 5-47 months; unadjusted; Omani citizens,Ministry of Health.,"National study on the prevalence of vitamin A deficiency (VAD) among children 6 months to 7 years. Muscat, Sultanate of Oman, 1995"
