JMEStatus,IndicatorCode,Indicator,StandardDisaggregations,ISO3Code,M49,Country,ShortSource,Survey_years,Year,UNICEFSurveyID,WHOSurveyID,EstimateType,PointEstimate,StandardError,LowerLimit,UpperLimit,weighted_N,unweighted_N,StandardFootnotes,ExtendedDisplayFootnotes,ReportAuthorProvider,FullSourceTitle
Accepted and Free from Confidentiality,ANT_WHZ_NE3,Severe_Wasting,0 to 5 months,LBN,422,Lebanon,SMART,2021,2021,8846,09712,Reanalyzed,0,NA,0,0,0.5663999915122986,1,"Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Oedema data was not considered in the analysis",NA,Ministry of Public Health Lebanon,Lebanon 2021 National Nutrition SMART Survey
Accepted and Free from Confidentiality,ANT_WHZ_NE3,Severe_Wasting,0 to 5 months,MWI,454,Malawi,SMART,2016,2016,3561,03407,Reanalyzed,0,NA,0,0,0.6119106411933899,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Oedema data was not considered in the analysis",Age 0-5 months not covered; unadjusted,"Lilongwe University of Agriculture and Natural Resources (LUANAR); Ministry of Health, UNIMA, UNICEF",Report of the Seven Nutrition Surveys Conducted in Flood Affected Livelihood Zones of Malawi - Assessment Period November - December 2016
Accepted and Free from Confidentiality,ANT_WHZ_NE3,Severe_Wasting,0 to 5 months,MWI,454,Malawi,SMART,2016,2016,2400,03408,Reanalyzed,0,NA,0,0,3.0849080085754395,4,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Oedema data was not considered in the analysis",Age 0-5 months not covered; unadjusted,"Lilongwe University of Agriculture and Natural Resources (LUANAR); Ministry of Health, UNIMA, UNICEF",Report of the Seven Nutrition Surveys Conducted in Flood Affected Livelihood Zones of Malawi - Assessment Period April - May 2016
Accepted and Free from Confidentiality,ANT_WHZ_NE3,Severe_Wasting,0 to 5 months,MWI,454,Malawi,SMART,2017,2017,3562,03409,Reanalyzed,0,NA,0,0,2.028769016265869,2,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Oedema data was not considered in the analysis",Age 0-5 months not covered; unadjusted,"Lilongwe University of Agriculture and Natural Resources (LUANAR); Ministry of Health, UNIMA, UNICEF",Report of the Seven Nutrition Surveys Conducted in Flood Affected Livelihood Zones of Malawi - Assessment Period May 2017
Accepted and Free from Confidentiality,ANT_WHZ_NE3,Severe_Wasting,0 to 5 months,MWI,454,Malawi,SMART,2018,2018,3566,03410,Reanalyzed,0,NA,0,0,0.3885439932346344,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age 0-5 months not covered; unadjusted,"Lilongwe University of Agriculture and Natural Resources (LUANAR); Ministry of Health, UNIMA, UNICEF",Report of the Seven Nutrition Surveys Conducted in Flood Affected Livelihood Zones of Malawi - Assessment Period January - February 2018
Accepted and Free from Confidentiality,ANT_WHZ_NE3,Severe_Wasting,0 to 5 months,MWI,454,Malawi,SMART,2020,2020,4575,05595,Reanalyzed,0,NA,0,0,0.9978950023651123,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Oedema data was not considered in the analysis",Age 0-5 months not covered; unadjusted,"Lilongwe University of Agriculture and Natural Resources (LUANAR); Ministry of Health, UNIMA, UNICEF",Report of the Round 7 Nutrition SMART Surveys Conducted in the Flood- and Drought- Prone Livelihood Zones of Malawi
Accepted and Free from Confidentiality,ANT_WHZ_NE3,Severe_Wasting,0 to 5 months,NPL,524,Nepal,Other,2016,2016,2564,03493,Reanalyzed,0,NA,0,0,4.679492473602295,4,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age 0-5 months not covered; unadjusted,"Ministry of Health and Population, Nepal; New ERA; UNICEF; EU; USAID; and CDC","Nepal National Micronutrient Status Survey, 2016. Kathmandu, Nepal: Ministry of Health and Population, Nepal 2018"
Accepted and Free from Confidentiality,ANT_WHZ_NE3,Severe_Wasting,0 to 5 months,OMN,512,Oman,VAD Survey,1994-1995,1994,521,01560,Reanalyzed,0,NA,0,0,4,4,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Height/length modality (standing/lying) was not collected",Age interval 5-47 months; unadjusted; Omani citizens,Ministry of Health.,"National study on the prevalence of vitamin A deficiency (VAD) among children 6 months to 7 years. Muscat, Sultanate of Oman, 1995"
Accepted and Free from Confidentiality,ANT_WHZ_NE3,Severe_Wasting,0 to 5 months,LKA,144,Sri Lanka,Other,2012,2012,627,03196,Reanalyzed,0,NA,0,0,1,1,"Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Oedema data was not considered in the analysis",NA,"Jayatissa R, Gunathilaka MM, Fernando DN, Herath P.",Sri Lanka National Nutrition and Micronutrient Survey 2012
Accepted and Free from Confidentiality,ANT_WHZ_NE3,Severe_Wasting,0 to 5 months,TGO,768,Togo,SMART,2009,2009,3112,03528,Reanalyzed,0,NA,0,0,4.194700241088867,3,"Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Oedema data was not considered in the analysis; Height/length modality (standing/lying) was not collected",NA,"Ministere de la Sante, La Republique du Togo; UNICEF","Enquete Nutritionnelle Nationale Utilisant La Methodologie SMART, Togo 2009"
Accepted and Free from Confidentiality,ANT_WHZ_NE3,Severe_Wasting,48 to 59 months,UGA,800,Uganda,DHS,1995,1995,693,01648,Reanalyzed,0,NA,0,0,0.9356709718704224,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed",Age interval 0-48 months; unadjusted,Statistics Department [Uganda] and Macro International Inc.,"Uganda demographic and health survey 1995. Demographic and Health Surveys. Calverton, Maryland: Statistics Department and Macro International Inc., 1996"
Accepted and Free from Confidentiality,ANT_WHZ_NE3,Severe_Wasting,0 to 5 months,UGA,800,Uganda,LSMS,2011-2012,2012,697,03320,Reanalyzed,0,NA,0,0,3449.461669921875,2,"Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Oedema data was not considered in the analysis",NA,Uganda Bureau of Statistics (UBOS).,"Uganda National Panel Survey (UNPS) - Wave III. Kampala, Uganda: UBOS, 2013"
Accepted and Free from Confidentiality,ANT_WHZ_NE3,Severe_Wasting,6 to 11 months,UGA,800,Uganda,LSMS,2015-2016,2015,2643,06990,Reanalyzed,0,NA,0,0,4747.720703125,1,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Oedema data was not considered in the analysis",Age interval 12-59 months; unadjusted,"UBOS, World Bank",Uganda National Panel Survey 2015-16
Accepted and Free from Confidentiality,ANT_WHZ_NE3,Severe_Wasting,12 to 23 months,URY,858,Uruguay,Other,2015-2016,2016,1657,03540,Reanalyzed,0,NA,0,0,1122,3,"Reduced age range;; Unweighted sample size is less than 25, point estimate, lower limit and upper limit have been suppressed; Height/length modality (standing/lying) was not collected",Age interval 24-59 months; unadjusted,"Instituto Nacional de Estadística, División Estadísticas Sociodemográficas; Ministerio de Desarrollo Social, Uruguay Crece Contigo; Universidad de la República","Encuesta de Nutrición, Desarrollo Infantil y Salud 2015 (ENDIS), Uruguay"
